concept_id,jlpt_level,expression,reading,meaning,source,source_id,review_status
n5-vocab-1519290-cd1bcc2b,N5,忙しい,いそがしい,"busy, irritated",Jonathan Waller JLPT vocabulary list,1519290,seed
n5-vocab-1432680-4dae3677,N5,痛い,いたい,painful,Jonathan Waller JLPT vocabulary list,1432680,seed
n5-vocab-1160790-9d8f8627,N5,一,いち,one,Jonathan Waller JLPT vocabulary list,1160790,seed
n5-vocab-1576260-1cfccd0c,N5,一日,いちにち,first of the month,Jonathan Waller JLPT vocabulary list,1576260,seed
n5-vocab-1165970-cb96f363,N5,いちばん,いちばん,"best, first",Jonathan Waller JLPT vocabulary list,1165970,seed
n5-vocab-1188760-9a8f6521,N5,何時,いつ,when,Jonathan Waller JLPT vocabulary list,1188760,seed
n5-vocab-1268570-2a7c4baf,N5,五日,いつか,"five days, fifth day",Jonathan Waller JLPT vocabulary list,1268570,seed
n5-vocab-1163400-2dc7289c,N5,一緒,いっしょ,together,Jonathan Waller JLPT vocabulary list,1163400,seed
n5-vocab-1268070-9ac35c39,N5,五つ,いつつ,five,Jonathan Waller JLPT vocabulary list,1268070,seed
n5-vocab-1188890-dea2a1df,N5,いつも,いつも,always,Jonathan Waller JLPT vocabulary list,1188890,seed
n5-vocab-1258330-0df89f50,N5,犬,いぬ,dog,Jonathan Waller JLPT vocabulary list,1258330,seed
n5-vocab-1288850-ce75c756,N5,今,いま,now,Jonathan Waller JLPT vocabulary list,1288850,seed
n5-vocab-1156800-cb29ccdd,N5,意味,いみ,meaning,Jonathan Waller JLPT vocabulary list,1156800,seed
n5-vocab-1524590-12047d01,N5,妹,いもうと,(humble) younger sister,Jonathan Waller JLPT vocabulary list,1524590,seed
n5-vocab-1587610-eda751e0,N5,嫌,いや,unpleasant,Jonathan Waller JLPT vocabulary list,1587610,seed
n5-vocab-1582820-1ff0529d,N5,入口,いりぐち,entrance,Jonathan Waller JLPT vocabulary list,1582820,seed
n5-vocab-1577980-21675e5a,N5,居る,いる,"to be, to have (used for people and animals)",Jonathan Waller JLPT vocabulary list,1577980,seed
n5-vocab-1546640-7a842087,N5,要る,いる,to need,Jonathan Waller JLPT vocabulary list,1546640,seed
n5-vocab-1465610-6d824d51,N5,入れる,いれる,to put in,Jonathan Waller JLPT vocabulary list,1465610,seed
n5-vocab-1357600-523266ea,N5,色,いろ,colour,Jonathan Waller JLPT vocabulary list,1357600,seed
n5-vocab-1587850-f74dd1ee,N5,いろいろ,いろいろ,various,Jonathan Waller JLPT vocabulary list,1587850,seed
n5-vocab-1352130-08a3ed21,N5,上,うえ,on top of,Jonathan Waller JLPT vocabulary list,1352130,seed
n5-vocab-1269410-93bdc81d,N5,後ろ,うしろ,behind,Jonathan Waller JLPT vocabulary list,1269410,seed
n5-vocab-1475480-d2b2316e,N5,薄い,うすい,"thin,weak",Jonathan Waller JLPT vocabulary list,1475480,seed
n5-vocab-1193180-036f4180,N5,歌,うた,song,Jonathan Waller JLPT vocabulary list,1193180,seed
n5-vocab-1588120-3464318c,N5,歌う,うたう,to sing,Jonathan Waller JLPT vocabulary list,1588120,seed
n5-vocab-1378690-63bc7722,N5,生まれる,うまれる,to be born,Jonathan Waller JLPT vocabulary list,1378690,seed
n5-vocab-1201190-06ac21dc,N5,海,うみ,sea,Jonathan Waller JLPT vocabulary list,1201190,seed
n5-vocab-1473950-f7e1da43,N5,売る,うる,to sell,Jonathan Waller JLPT vocabulary list,1473950,seed
n5-vocab-1481920-7ecfe0d2,N5,煩い,うるさい,"noisy, annoying",Jonathan Waller JLPT vocabulary list,1481920,seed
n5-vocab-1580340-1ef8a05b,N5,上着,うわぎ,jacket,Jonathan Waller JLPT vocabulary list,1580340,seed
n5-vocab-1202270-5bb390da,N5,絵,え,picture,Jonathan Waller JLPT vocabulary list,1202270,seed
n5-vocab-1173720-92b16212,N5,映画,えいが,movie,Jonathan Waller JLPT vocabulary list,1173720,seed
n5-vocab-1173750-8a88cfbc,N5,映画館,えいがかん,cinema,Jonathan Waller JLPT vocabulary list,1173750,seed
n5-vocab-1174420-16adc7bd,N5,英語,えいご,English language,Jonathan Waller JLPT vocabulary list,1174420,seed
n5-vocab-1001140-8ac60a40,N5,ええ,ええ,yes,Jonathan Waller JLPT vocabulary list,1001140,seed
n5-vocab-1175140-d5f359c2,N5,駅,えき,station,Jonathan Waller JLPT vocabulary list,1175140,seed
n5-vocab-1030630-eb1695ba,N5,エレベーター,エレベーター,elevator,Jonathan Waller JLPT vocabulary list,1030630,seed
